한국무역통계 총괄 - K-stat 수출입 무역통계,,,,,,
"주기 : 분기별  ,  당월/누계 : 당분기  ,  단위 : 금액 - 천불, 증감률 - %  ,  정렬 : 분기",,,,,,
순번,분기,수출,수출,수입,수입,수지
순번,분기,금액,증감률,금액,증감률,수지
1,2025년 4분기,"189,825,079",8.4,"162,148,329",1.4,"27,676,750"
2,2025년 3분기,"184,906,513",6.5,"162,452,105",1.5,"22,454,408"
3,2025년 2분기,"175,136,527",2.1,"154,344,577",-1.7,"20,791,950"
4,2025년 1분기,"159,538,690",-2.3,"152,805,845",-1.3,"6,732,845"
5,2024년 4분기,"175,148,071",4.2,"159,916,961",0.9,"15,231,110"
6,2024년 3분기,"173,646,405",10.5,"159,996,561",6.2,"13,649,844"
7,2024년 2분기,"171,510,490",10.1,"157,044,312",-1.4,"14,466,178"
8,2024년 1분기,"163,304,522",8.0,"154,809,376",-11.1,"8,495,146"
9,2023년 4분기,"168,124,233",5.7,"158,561,242",-10.7,"9,562,991"
10,2023년 3분기,"157,102,541",-9.7,"150,720,396",-21.6,"6,382,145"
11,2023년 2분기,"155,782,828",-12.0,"159,246,811",-13.2,"-3,463,983"
12,2023년 1분기,"151,216,222",-12.8,"174,043,677",-2.2,"-22,827,455"
13,2022년 4분기,"159,048,613",-10.0,"177,637,901",3.1,"-18,589,288"
14,2022년 3분기,"174,024,024",5.8,"192,300,408",22.6,"-18,276,384"
15,2022년 2분기,"177,114,077",13.0,"183,531,471",23.0,"-6,417,394"
16,2022년 1분기,"173,398,046",18.4,"177,899,876",30.2,"-4,501,830"
17,2021년 4분기,"176,725,032",24.5,"172,365,044",39.4,"4,359,988"
18,2021년 3분기,"164,540,484",26.5,"156,893,690",37.5,"7,646,794"
19,2021년 2분기,"156,730,058",42.0,"149,230,700",37.7,"7,499,358"
20,2021년 1분기,"146,404,795",12.5,"136,604,013",12.4,"9,800,782"
21,2020년 4분기,"141,902,867",4.1,"123,676,805",-1.7,"18,226,062"
22,2020년 3분기,"130,074,322",-3.5,"114,067,304",-8.7,"16,007,018"
23,2020년 2분기,"110,338,765",-20.3,"108,389,446",-15.8,"1,949,319"
24,2020년 1분기,"130,182,084",-1.9,"121,499,208",-1.9,"8,682,876"
25,2019년 4분기,"136,357,819",-11.8,"125,813,161",-9.7,"10,544,658"
26,2019년 3분기,"134,727,339",-12.3,"124,960,968",-4.1,"9,766,371"
27,2019년 2분기,"138,493,508",-8.7,"128,771,643",-3.3,"9,721,865"
28,2019년 1분기,"132,653,944",-8.5,"123,797,175",-6.5,"8,856,769"
29,2018년 4분기,"154,546,632",7.7,"139,313,510",12.9,"15,233,122"
30,2018년 3분기,"153,640,912",1.7,"130,310,750",7.8,"23,330,162"
31,2018년 2분기,"151,617,360",3.1,"133,152,855",13.0,"18,464,505"
32,2018년 1분기,"145,054,752",9.8,"132,425,313",13.7,"12,629,439"
